,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2,translation_S_3
155,22.82743,23.52755,23.84412,23.25379,22.2885,23.0589,23.48382,24.004189999999998,21.61221,23.2981,22.92575,22.76998
156,21.651670000000003,21.98936,21.07894,23.55836,23.21568,23.57589,23.30883,22.67452,22.67631,23.38824,23.18427,22.91295
157,26.17162,26.39231,26.168770000000002,25.85659,25.04877,26.21507,26.04596,25.7454,25.48987,25.20661,25.271810000000002,26.072370000000003
158,21.972179999999998,22.44182,22.64079,22.83921,22.13993,23.224120000000003,23.00767,22.464979999999997,22.0749,20.89193,21.05623,22.93666
159,,,,,,21.36506,,,,,,
160,19.64282,,,,,22.16469,,,,,,
161,22.400389999999998,22.561410000000002,23.26055,23.63079,22.39142,24.157770000000003,22.54215,22.83827,22.76493,23.25508,22.447689999999998,22.80108
162,23.56964,22.8987,22.3977,23.83576,23.265279999999997,24.223760000000002,23.44708,23.169220000000003,22.47968,23.08274,23.888460000000002,24.28595
163,,19.83288,20.18435,,20.31307,20.856279999999998,20.92962,21.6461,21.143639999999998,21.449,21.67543,20.59386
164,22.16319,21.86552,22.27028,22.21667,20.516820000000003,22.62983,22.67986,21.51509,21.1798,21.21134,21.44678,22.13342
165,26.598470000000002,25.995160000000002,26.5093,26.801190000000002,25.65193,26.85662,26.72598,26.26673,25.834629999999997,26.02869,26.20992,26.65212
166,25.792479999999998,26.04824,26.12666,25.85205,25.18918,26.15696,26.0815,25.93019,25.59072,25.83911,25.85462,26.10141
167,30.05905,30.44065,30.39958,30.535190000000004,30.05763,30.85698,30.539270000000002,30.23866,30.19988,30.00785,29.936770000000003,30.22917
168,26.589640000000003,26.808090000000004,27.27017,26.74881,26.07378,27.057859999999998,26.74932,26.69166,26.300629999999998,26.19616,26.35537,26.57054
